"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3636","foo: VALUE 97","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3694","foo: VALUE 55","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3323","foo: VALUE 18","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3871","foo: VALUE 63","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3653","foo: VALUE 101","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3324","foo: VALUE 20","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3637","foo: VALUE 58","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3813","foo: VALUE 40","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4006","foo: VALUE 44","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3641","foo: VALUE 34","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3731","foo: VALUE 5","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3492","foo: VALUE 32","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3728","foo: VALUE 8","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3907","foo: VALUE 9","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3550","foo: VALUE 42","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3953","foo: VALUE 82","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","6486","foo: VALUE 71","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3486","foo: VALUE 50","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","3408","foo: VALUE 86","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","4270","foo: VALUE 4","","2026-05-29","passed","2026-05-29","Form Automation","form.spec.ts","",""
"","865","TC-CART-001 Add item to cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
