"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1500","TC-CART-004 Add all items to cart by each one","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","999","TC-CART-003 Add all items to cart at once","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","713","TC-CART-005 Random Item title checking","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","929","TC-CART-001 Add item to cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","792","TC-CART-002 Remove item from cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","1038","TC-CHKOUT-001 Checkout process","","2026-05-29","passed","2026-05-29","Checkout","checkout.spec.ts","",""
