"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3545","TC-CHKOUT-001 Checkout process","","2026-05-29","passed","2026-05-29","Checkout","checkout.spec.ts","",""
"","1015","TC-CART-001 Add item to cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","718","TC-CART-005 Random Item title checking","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","1451","TC-CART-004 Add all items to cart by each one","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","946","TC-CART-002 Remove item from cart","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
"","1009","TC-CART-003 Add all items to cart at once","","2026-05-29","passed","2026-05-29","Cart test cases","cart.spec.ts","",""
