"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1357","TC-CART-004 Add all items to cart by each one","","Sat May 23 22:28:29 UTC 2026","passed","Sat May 23 22:28:30 UTC 2026","Cart test cases","cart.spec.ts","",""
"","923","TC-CART-001 Add item to cart","","Sat May 23 22:28:26 UTC 2026","passed","Sat May 23 22:28:27 UTC 2026","Cart test cases","cart.spec.ts","",""
"","1981","TC-LOGIN-006 Logout","","Sat May 23 22:28:34 UTC 2026","passed","Sat May 23 22:28:36 UTC 2026","Login","login.spec.ts","",""
"","429","TC-LOGIN-004.1 Login with blank password","","Sat May 23 22:28:33 UTC 2026","passed","Sat May 23 22:28:34 UTC 2026","Login","login.spec.ts","",""
"","415","TC-LOGIN-004 Login with blank user","","Sat May 23 22:28:33 UTC 2026","passed","Sat May 23 22:28:33 UTC 2026","Login","login.spec.ts","",""
"","723","TC-CHKOUT-001 Checkout process","","Sat May 23 22:28:31 UTC 2026","passed","Sat May 23 22:28:32 UTC 2026","Checkout","checkout.spec.ts","",""
"","478","TC-LOGIN-002 & TC-LOGIN-003 Login with invalid credentials","","Sat May 23 22:28:32 UTC 2026","passed","Sat May 23 22:28:33 UTC 2026","Login","login.spec.ts","",""
"","905","TC-CART-003 Add all items to cart at once","","Sat May 23 22:28:28 UTC 2026","passed","Sat May 23 22:28:29 UTC 2026","Cart test cases","cart.spec.ts","",""
"","587","TC-CART-005 Random Item title checking","","Sat May 23 22:28:30 UTC 2026","passed","Sat May 23 22:28:31 UTC 2026","Cart test cases","cart.spec.ts","",""
"","703","TC-CART-002 Remove item from cart","","Sat May 23 22:28:28 UTC 2026","passed","Sat May 23 22:28:28 UTC 2026","Cart test cases","cart.spec.ts","",""
"","532","TC-LOGIN-001 Login with valid credentials","","Sat May 23 22:28:32 UTC 2026","passed","Sat May 23 22:28:32 UTC 2026","Login","login.spec.ts","",""
"","472","TC-LOGIN-005 Login with blocked user","","Sat May 23 22:28:34 UTC 2026","passed","Sat May 23 22:28:34 UTC 2026","Login","login.spec.ts","",""
