"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","685","TC-LOGIN-005 Login with blocked user","","Sat May 23 22:05:53 UTC 2026","passed","Sat May 23 22:05:54 UTC 2026","Login","login.spec.ts","",""
"","957","TC-CART-001 Add item to cart","","Sat May 23 22:05:43 UTC 2026","passed","Sat May 23 22:05:44 UTC 2026","Cart test cases","cart.spec.ts","",""
"","1368","TC-CART-004 Add all items to cart by each one","","Sat May 23 22:05:45 UTC 2026","passed","Sat May 23 22:05:47 UTC 2026","Cart test cases","cart.spec.ts","",""
"","547","TC-LOGIN-001 Login with valid credentials","","Sat May 23 22:05:48 UTC 2026","passed","Sat May 23 22:05:49 UTC 2026","Login","login.spec.ts","",""
"","755","TC-CHKOUT-001 Checkout process","","Sat May 23 22:05:47 UTC 2026","passed","Sat May 23 22:05:48 UTC 2026","Checkout","checkout.spec.ts","",""
"","473","TC-LOGIN-004.1 Login with blank password","","Sat May 23 22:05:52 UTC 2026","passed","Sat May 23 22:05:53 UTC 2026","Login","login.spec.ts","",""
"","737","TC-CART-002 Remove item from cart","","Sat May 23 22:05:44 UTC 2026","passed","Sat May 23 22:05:44 UTC 2026","Cart test cases","cart.spec.ts","",""
"","613","TC-CART-005 Random Item title checking","","Sat May 23 22:05:47 UTC 2026","passed","Sat May 23 22:05:47 UTC 2026","Cart test cases","cart.spec.ts","",""
"","856","TC-CART-003 Add all items to cart at once","","Sat May 23 22:05:44 UTC 2026","passed","Sat May 23 22:05:45 UTC 2026","Cart test cases","cart.spec.ts","",""
"","726","TC-LOGIN-002 & TC-LOGIN-003 Login with invalid credentials","","Sat May 23 22:05:49 UTC 2026","passed","Sat May 23 22:05:49 UTC 2026","Login","login.spec.ts","",""
"","3091","TC-LOGIN-004 Login with blank user","","Sat May 23 22:05:49 UTC 2026","passed","Sat May 23 22:05:52 UTC 2026","Login","login.spec.ts","",""
