"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3535","foo: VALUE 27","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3715","foo: VALUE 29","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","64426","Input Form Demo","","2026-06-05","broken","2026-06-05","","ui/P101.spec.ts","",""
"","3560","foo: VALUE 32","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3701","foo: VALUE 33","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3483","foo: VALUE 17","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","63958","Simple Form Demo","","2026-06-05","broken","2026-06-05","","ui/P101.spec.ts","",""
"","630","TC-LOGIN-001 Login with valid credentials","","2026-06-05","passed","2026-06-05","Login","ui/login.spec.ts","",""
"","3822","foo: VALUE 75","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3895","foo: VALUE 3","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3907","foo: VALUE 22","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3675","foo: VALUE 54","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3750","foo: VALUE 72","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3496","foo: VALUE 93","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3434","foo: VALUE 49","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","744","TC-CART-001 Add item to cart","","2026-06-05","passed","2026-06-05","Cart test cases","ui/cart.spec.ts","",""
"","3666","foo: VALUE 89","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","4271","foo: VALUE 4","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3882","foo: VALUE 99","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3626","foo: VALUE 97","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","4007","foo: VALUE 28","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","625","TC-CART-005 Random Item title checking","","2026-06-05","passed","2026-06-05","Cart test cases","ui/cart.spec.ts","",""
"","3439","foo: VALUE 52","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","63713","Slider Demo","","2026-06-05","broken","2026-06-05","","ui/P101.spec.ts","",""
"","3459","foo: VALUE 70","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3867","foo: VALUE 26","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3725","foo: VALUE 43","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","488","TC-API-001 GET return Rick and Morty API","","2026-06-05","passed","2026-06-05","API Testing","api/api.spec.ts","",""
"","3558","foo: VALUE 51","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","6847","foo: VALUE 1","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3735","foo: VALUE 68","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3926","foo: VALUE 37","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","4382","foo: VALUE 74","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3717","foo: VALUE 69","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3889","foo: VALUE 5","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3699","foo: VALUE 55","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3713","foo: VALUE 91","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3533","foo: VALUE 95","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3513","foo: VALUE 50","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3847","foo: VALUE 65","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3696","foo: VALUE 64","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3722","foo: VALUE 81","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","470","TC-LOGIN-002 & TC-LOGIN-003 Login with invalid credentials","","2026-06-05","passed","2026-06-05","Login","ui/login.spec.ts","",""
"","3809","foo: VALUE 46","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3607","foo: VALUE 62","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3692","foo: VALUE 11","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","118","TC-API-003 POST /api/users creates a user","","2026-06-05","passed","2026-06-05","API Testing","api/api.spec.ts","",""
"","4026","foo: VALUE 82","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3910","foo: VALUE 8","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3711","foo: VALUE 76","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3770","foo: VALUE 96","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3438","foo: VALUE 16","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3544","foo: VALUE 41","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3735","foo: VALUE 2","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3448","foo: VALUE 83","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3586","foo: VALUE 67","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3878","foo: VALUE 63","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
"","3445","foo: VALUE 86","","2026-06-05","passed","2026-06-05","Form Automation","ui/form.spec.ts","",""
