"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7200","foo: VALUE 1","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","572","TC-LOGIN-002 & TC-LOGIN-003 Login with invalid credentials","","2026-06-01","passed","2026-06-01","Login","ui/login.spec.ts","",""
"","4125","foo: VALUE 81","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4015","foo: VALUE 80","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","556","TC-LOGIN-004.1 Login with blank password","","2026-06-01","passed","2026-06-01","Login","ui/login.spec.ts","",""
"","610","TC-API-001 GET return Rick and Morty API","","2026-06-01","passed","2026-06-01","API Testing","api/api.spec.ts","",""
"","3931","foo: VALUE 97","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4039","foo: VALUE 91","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4084","foo: VALUE 90","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3887","foo: VALUE 87","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","1532","TC-LOGIN-006 Logout","","2026-06-01","passed","2026-06-01","Login","ui/login.spec.ts","",""
"","3924","foo: VALUE 88","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3984","foo: VALUE 41","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4724","foo: VALUE 39","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3832","foo: VALUE 14","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","338","TC-API-003 POST /api/users creates a user","","2026-06-01","passed","2026-06-01","API Testing","api/api.spec.ts","",""
"","3860","foo: VALUE 55","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4118","foo: VALUE 61","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4341","foo: VALUE 82","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3835","foo: VALUE 42","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
