"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","TC-API-002 GET /api/users returns paginated users","","2026-06-01","passed","2026-06-01","API Testing","api/api.spec.ts","",""
"","3772","foo: VALUE 18","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4547","foo: VALUE 12","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4324","foo: VALUE 98","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4092","foo: VALUE 75","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4073","foo: VALUE 66","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4130","foo: VALUE 96","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","6643","foo: VALUE 71","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4668","foo: VALUE 79","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4116","foo: VALUE 19","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4195","foo: VALUE 63","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4311","foo: VALUE 30","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3910","foo: VALUE 56","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3868","foo: VALUE 84","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4427","foo: VALUE 5","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3740","foo: VALUE 45","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4067","foo: VALUE 37","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","984","TC-CART-003 Add all items to cart at once","","2026-06-01","passed","2026-06-01","Cart test cases","ui/cart.spec.ts","",""
"","3969","foo: VALUE 15","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4376","foo: VALUE 57","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4146","foo: VALUE 11","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4293","foo: VALUE 26","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4020","foo: VALUE 76","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3917","foo: VALUE 68","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3753","foo: VALUE 49","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4205","foo: VALUE 24","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3936","foo: VALUE 20","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3787","foo: VALUE 17","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3825","foo: VALUE 52","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4695","foo: VALUE 4","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4176","foo: VALUE 31","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4100","foo: VALUE 46","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4016","foo: VALUE 6","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4173","foo: VALUE 73","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4477","foo: VALUE 28","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4343","foo: VALUE 22","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3973","foo: VALUE 62","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3855","foo: VALUE 58","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3817","foo: VALUE 50","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4017","foo: VALUE 25","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3914","foo: VALUE 23","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4206","foo: VALUE 38","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4006","foo: VALUE 13","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4423","foo: VALUE 3","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3948","foo: VALUE 93","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3922","foo: VALUE 67","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4130","foo: VALUE 33","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3959","foo: VALUE 69","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","7733","foo: VALUE 36","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3933","foo: VALUE 77","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4442","foo: VALUE 9","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3992","foo: VALUE 78","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3757","foo: VALUE 86","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3942","foo: VALUE 16","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3991","foo: VALUE 7","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4203","foo: VALUE 100","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","938","TC-CART-005 Random Item title checking","","2026-06-01","passed","2026-06-01","Cart test cases","ui/cart.spec.ts","",""
"","3683","foo: VALUE 70","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3628","foo: VALUE 83","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3838","foo: VALUE 48","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4327","foo: VALUE 40","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4391","foo: VALUE 47","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","548","TC-LOGIN-005 Login with blocked user","","2026-06-01","passed","2026-06-01","Login","ui/login.spec.ts","",""
"","4074","foo: VALUE 94","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3827","foo: VALUE 27","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4088","foo: VALUE 64","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4184","foo: VALUE 8","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3874","foo: VALUE 51","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3917","foo: VALUE 59","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4016","foo: VALUE 43","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4299","foo: VALUE 2","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4023","foo: VALUE 60","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3785","foo: VALUE 35","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","705","TC-CART-002 Remove item from cart","","2026-06-01","passed","2026-06-01","Cart test cases","ui/cart.spec.ts","",""
"","4072","foo: VALUE 21","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","895","TC-CART-001 Add item to cart","","2026-06-01","passed","2026-06-01","Cart test cases","ui/cart.spec.ts","",""
"","4038","foo: VALUE 34","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3834","foo: VALUE 53","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4023","foo: VALUE 10","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4131","foo: VALUE 101","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4048","foo: VALUE 89","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3968","foo: VALUE 32","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","728","TC-LOGIN-001 Login with valid credentials","","2026-06-01","passed","2026-06-01","Login","ui/login.spec.ts","",""
"","3919","foo: VALUE 85","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4132","foo: VALUE 99","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4632","foo: VALUE 74","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4111","foo: VALUE 72","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","3872","foo: VALUE 95","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","610","TC-LOGIN-004 Login with blank user","","2026-06-01","passed","2026-06-01","Login","ui/login.spec.ts","",""
"","3866","foo: VALUE 54","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","1362","TC-CART-004 Add all items to cart by each one","","2026-06-01","passed","2026-06-01","Cart test cases","ui/cart.spec.ts","",""
"","4479","foo: VALUE 44","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4036","foo: VALUE 92","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","4049","foo: VALUE 29","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
"","811","TC-CHKOUT-001 Checkout process","","2026-06-01","passed","2026-06-01","Checkout","ui/checkout.spec.ts","",""
"","4278","foo: VALUE 65","","2026-06-01","passed","2026-06-01","Form Automation","ui/form.spec.ts","",""
